ID,Longitude,Latitude,Type,Speed,DirType,Direction,NameEng,NameHeb,Road,RoadDir,Description
1,34.92381,32.58209,1,90,1,210,FixSpeedCam,מצלמת מהירות,2,דרום,דרומית למחלף זכרון
2,34.91654,32.54429,1,90,1,10,FixSpeedCam,מצלמת מהירות,2,צפון,ג'אסר א-זרקא ליד הגשר
3,34.91464,32.52507,1,100,1,193,FixSpeedCam,מצלמת מהירות,2,דרום,דרומית לג'אסר א-זרקא
4,34.88907,32.43293,1,90,1,18,FixSpeedCam,מצלמת מהירות,2,צפון,דרומית לצומת אולגה
5,34.88577,32.42187,1,90,1,193,FixSpeedCam,מצלמת מהירות,2,דרום,דרומית לצומת אולגה
6,34.71427,31.70251,1,90,1,250,FixSpeedCam,מצלמת מהירות,3,מערב,צומת עין צורים
7,35.09242,32.97152,1,90,1,184,FixSpeedCam,מצלמת מהירות,4,דרום,אחרי צומת רגבה
8,35.09382,32.96411,1,90,1,351,FixSpeedCam,מצלמת מהירות,4,צפון,צפונית ללוחמי הגיטאות
9,35.09075,32.95182,2,80,1,166,SpeedRedCam,מצלמת רמזור ומהירות,4,דרום,צומת שומרת
10,35.09254,32.89893,1,90,1,329,FixSpeedCam,מצלמת מהירות,4,צפון,ליד קניון עין המפרץ
11,34.93037,32.50919,1,80,1,176,FixSpeedCam,מצלמת מהירות,4,דרום,בין אור עקיבה לבנימינה
12,34.92537,32.49421,1,80,1,21,FixSpeedCam,מצלמת מהירות,4,צפון,בין אור עקיבה לבנימינה
13,34.90812,32.42651,1,80,1,14,FixSpeedCam,מצלמת מהירות,4,צפון,דרומית לכיכר המשטרה חדרה
14,34.90693,32.42264,1,80,1,194,FixSpeedCam,מצלמת מהירות,4,דרום,דרומית לכיכר המשטרה חדרה
15,34.90426,32.32361,2,90,1,190,SpeedRedCam,מצלמת רמזור ומהירות,4,דרום,צומת השרון
16,34.85523,32.12395,2,90,1,43,SpeedRedCam,מצלמת רמזור ומהירות,4,צפון,צומת מורשה
17,34.84901,32.10512,1,90,1,12,FixSpeedCam,מצלמת מהירות,4,צפון,אחרי מחלף אם המושבות
18,34.66298,31.75346,2,90,1,220,SpeedRedCam,מצלמת רמזור ומהירות,4,דרום,צומת אמונים
19,34.60964,31.67622,2,90,1,189,SpeedRedCam,מצלמת רמזור ומהירות,4,דרום,צומת סילבר
20,34.60654,31.66595,2,90,1,180,SpeedRedCam,מצלמת רמזור ומהירות,4,דרום,צומת ברכיה(פזכים)
21,34.91241,32.11981,1,90,1,103,FixSpeedCam,מצלמת מהירות,5,מזרח,אחרי מחלף ירקון
22,34.66376,31.65309,2,90,1,289,SpeedRedCam,מצלמת רמזור ומהירות,35,מערב,צומת גבעתי
23,34.92655,32.16506,2,90,1,207,SpeedRedCam,מצלמת רמזור ומהירות,40,דרום,צומת עם 531
24,34.90672,31.95679,2,90,1,158,SpeedRedCam,מצלמת רמזור ומהירות,40,דרום,צומת גנתון
25,34.81929,31.87051,2,90,1,41,SpeedRedCam,מצלמת רמזור ומהירות,40,צפון,צומת בילו
26,34.75812,31.73316,2,90,1,217,SpeedRedCam,מצלמת רמזור ומהירות,40,דרום,צומת ק.מלאכי
27,34.76529,31.67862,1,90,1,335,FixSpeedCam,מצלמת מהירות,40,צפון,צומת ניר בנים
28,34.76762,31.64318,1,90,1,159,FixSpeedCam,מצלמת מהירות,40,דרום,מדרום לצומת קוממיות
29,34.75715,31.62566,2,90,1,61,SpeedRedCam,מצלמת רמזור ומהירות,40,צפון,צומת פלוגות
30,34.76405,31.55424,1,90,1,157,FixSpeedCam,מצלמת מהירות,40,דרום,צומת אחוזם
31,34.77575,31.47209,1,90,1,180,FixSpeedCam,מצלמת מהירות,40,דרום,בין מחלף מאחז לבית קמה
32,34.76615,31.44228,2,90,1,161,SpeedRedCam,מצלמת רמזור ומהירות,40,דרום,צומת בית קמה
33,34.78522,32.03549,1,70,1,294,FixSpeedCam,מצלמת מהירות,44,מערב,צמוד לגשר מקווה ישראל 
34,34.78599,32.03481,1,70,1,114,FixSpeedCam,מצלמת מהירות,44,מזרח,צמוד לגשר מקווה ישראל 
35,34.81552,32.00871,2,90,1,325,SpeedRedCam,מצלמת רמזור ומהירות,44,מערב,צומת השבעה
36,34.82083,32.00146,2,90,1,146,SpeedRedCam,מצלמת רמזור ומהירות,44,מזרח,צומת בית דגן
37,34.85494,31.95498,1,90,1,332,FixSpeedCam,מצלמת מהירות,44,מערב,מערבית לצומת ניר צבי
38,34.86231,31.94361,1,90,1,140,FixSpeedCam,מצלמת מהירות,44,מזרח,לפני הכניסה הצפונית לרמלה
39,34.93776,32.17647,2,90,1,245,SpeedRedCam,מצלמת רמזור ומהירות,55,מערב,צומת נווה ימין 
40,34.82595,31.25703,2,90,1,48,SpeedRedCam,מצלמת רמזור ומהירות,60,צפון,ליד מחלף חטיבת הנגב
